id,title,date,time,category
news_20251113_종목_0028,전자·車·방산부터 식품까지 韓 대표 기업인 대거 UAE행,2025-11-13,18:09,종목
news_20251113_종목_0025,파죽지세 코스피 … AI·반도체·K뷰티에 투자자 시선 쏠려 [빅데이터로 본 재테크],2025-11-13,16:10,종목
news_20251113_종목_0031,대세는 국장…금리 인하기 성장주 부활 [2026 투자 포트폴리오],2025-11-13,21:00,종목
news_20251113_종목_0026,"""사원증 찍으면 천원 기부"" 삼성 키오스크 나눔 10년",2025-11-13,18:09,종목
news_20251113_종목_0027,"삼성, 사업지원실 M&A팀 신설…신사업 속도",2025-11-13,18:09,종목
news_20251113_섹터_0020,핑크퐁·씨엠티엑스 코스닥 데뷔 [위클리 마켓],2025-11-13,16:10,섹터
news_20251113_섹터_0009,“유학간 애들 학비 큰일이네”…서학개미 역대급 매수에 더 오르는 환율,2025-11-13,08:33,섹터
news_20251113_섹터_0010,“미국이 때리고 막아도 효과 없다”… 반도체 자체 공급망 완성한 이 회사,2025-11-13,08:35,섹터
news_20251113_경제_0005,"성장률 회복·부동산 불안…금리인하, 한 번 남은 듯",2025-11-13,17:49,경제
news_20251113_경제_0004,너도나도 주식 '빚투'…기타대출 4년3개월 만에 최대 폭 증가,2025-11-13,12:00,경제
